arroyo,n. a stream or brook
dissident,s. characterized by departure from accepted beliefs or standards
diva,n a distinguished female operatic singer; a female operatic star
diver,"n. someone who works underwater
n. someone who dives (into water)"
doctrinaire,s. stubbornly insistent on theory without regard for practicality or suitability
donor,"n. person who makes a gift of property
n. (medicine) someone who gives blood or tissue or an organ to be used in another person (the host)"
doyen,n a man who is the senior member of a group
drudgery,n. hard monotonous routine work
dummy,"n. a person who does not talk
n. a figure representing the human form
v. make a dummy of
s. having the appearance of being real but lacking capacity to function"
dupe,"n a person who is tricked or swindled
v fool or hoax"
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
ecologist,n. a biologist who studies the relation between organisms and their environment
emissary,n. someone sent on a mission to represent the interests of someone else
encomiast,n. One who praises; a panegyrist.
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
cipher,"n. a message written in a secret code
n. a person of no influence
n. a secret method of writing"
epicure,n. a person devoted to refined sensuous enjoyment (especially good food and drink)
errand,n. a short trip that is taken in the performance of a necessary task or mission
exponent,"n. someone who expounds and interprets or explains
n. a mathematical notation indicating the number of times a quantity is multiplied by itself"
extremist,"n. a person who holds extreme views
s. (used of opinions and actions) far beyond the norm"
extrovert,"n. (psychology) a person concerned more with practical realities than with inner thoughts and feelings
s. being concerned with the social and physical environment"
factotum,n. a servant employed to do a variety of jobs
faculty,n. one of the inherent cognitive or perceptual powers of the mind
fanatic,"n. a person motivated by irrational enthusiasm (as for a cause)
s. marked by excessive enthusiasm for and intense devotion to a cause or idea"
faultfinder,n someone who is critical of the motives of others
feminist,"n. a supporter of feminism
a. of or relating to or advocating equal rights for women"
fidget,"n. a feeling of agitation expressed in continual motion
v. move restlessly"
figurehead,n. figure on the bow of some sailing vessels
fledgling,"n. young bird that has just fledged or become capable of flying
s. (of a young bird) having acquired its flight feathers
s. young and inexperienced"
forager,n. someone who hunts for food and provisions
forger,"n. someone who operates a forge
n. someone who makes copies illegally"
fraud,"n. intentional deception resulting in injury to another person
n. something intended to deceive; deliberate trickery intended to gain an advantage"
freelancer,n. a writer or artist who sells services to different employers without a long-term contract with any of them
functionary,n a worker who holds or is invested with an office
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
gargoyle,"n. a spout that terminates in a grotesquely carved figure of a person or animal
n. an ornament consisting of a grotesquely carved figure of a person or animal"
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
gentry,n. the most powerful members of a society
geometrician,n a mathematician specializing in geometry
gladiator,n. (ancient Rome) a professional combatant or a captive who entertained the public by engaging in mortal combat
gourmand,n a person who is devoted to eating and drinking to excess
gourmet,n a person devoted to refined sensuous enjoyment (especially good food and drink)
groom,"n. a man participant in his own marriage ceremony
n. a man who has recently been married
v. care for one's external appearance"
guru,"n. a Hindu or Buddhist religious leader and spiritual teacher
n. each of the first ten leaders of the Sikh religion
n. a recognized leader in some field or of some movement"
gusher,n. an oil well with a strong natural flow so that pumping is not necessary
hack,"n. one who works hard at boring tasks
n. a mediocre and disdained writer
n. a tool (as a hoe or pick or mattock) used for breaking up the surface of the soil
n. an old or over-worked horse"
hedonist,n. someone motivated by desires for sensual pleasures
heir,n. a person who is entitled by law or by the terms of a will to inherit the estate of another
heretic,"n. a person who holds religious beliefs in conflict with the dogma of the Roman Catholic Church
n. a person who holds unorthodox opinions in any field (not merely religion)"
