fray,v. wear away by rubbing
redraw,"v. t. To draw again; to make a second draft or copy of; to
   redraft.
v. i. To draw a new bill of exchange, as the holder of a
   protested bill, on the drawer or indorsers."
redress,n. act of correcting an error or a fault or an evil
reductio ad absurdum,none
redundancy,"n. repetition of messages to reduce the probability of errors in transmission
n. the attribute of being superfluous and unneeded
n. (electronics) a system design that duplicates components to provide alternatives in case one component fails
n. repetition of an act needlessly"
reedy,"s. having a tone of a reed instrument
s. resembling a reed in being upright and slender"
re-examine,v question after cross-examination by opposing counsel
refurbish,v. make brighter and prettier
refutation,n. the speech act of answering an attack on your assertions
regal,s belonging to or befitting a supreme ruler
regarding,"v deem to be
v look at attentively
v connect closely and often incriminatingly"
regatta,n. a meeting for boat races
regeneration,"n. (biology) growth anew of lost tissue or destroyed parts or organs
n. the activity of spiritual or physical renewal"
registrar,"n. a person employed to keep a record of the owners of stocks and bonds issued by the company
n. the administrator responsible for student records
n. someone responsible for keeping records"
registry,n an official written record of names or events or transactions
regress,"n. the reasoning involved when you assume the conclusion is true and reason backward to the evidence
v. go back to a statistical means
v. get worse or fall back to a previous condition"
regressive,"a. (of taxes) adjusted so that the rate decreases as the amount of income increases
a. opposing progress; returning to a former less advanced state"
regularity,"n. a property of polygons: the property of having equal sides and equal angles
n. the quality of being characterized by a fixed principle or rate"
relent,"v give in, as to influence or pressure"
relish,"n. spicy or savory condiment
n. the taste experience when a savoury condiment is taken into the mouth"
remedial,s. tending or intended to rectify or improve
remembrance,n. the ability to recall past occurrences
reminiscent,s serving to bring to mind
remittance,n. a payment of money sent to a person in another place
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
remorse,n a feeling of deep regret (usually for some misdeed)
remorseful,s feeling or expressing pain or sorrow for sins or offenses
remorseless,s without mercy or pity
remunerate,v make payment to; compensate
remuneration,n. the act of paying for goods or services or to recompense for losses
rend,v. tear or be torn violently
rendezvous,"n. a meeting planned at a certain time and place
n. a place where people meet
v. meet at a rendezvous"
renegade,n. someone who rebels and becomes an outlaw
renunciation,"n. an act (spoken or written) declaring that something is surrendered or disowned
n. the act of renouncing; sacrificing or giving up or surrendering (a possession or right or title or privilege etc.)"
reorient,"v. cause to turn
v. set or arrange in a new or different determinate position"
repairable,a. Reparable.
reparation,"n. compensation (given or received) for an insult or injury
n. (usually plural) compensation exacted from a defeated nation by the victors
n. something done or paid in expiation of a wrong"
repentance,n. remorse for your past conduct
repercussion,n. a remote or indirect consequence of some action
repertoire,"n. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule"
repine,v. express discontent
replicate,v. reproduce or make an exact copy of
repress,"v. put down by force or intimidation
v. block the action of"
repression,"n. a state of forcible subjugation
n. (psychiatry) the classical defense mechanism that protects you from impulses or ideas that would cause anxiety by preventing them from becoming conscious
n. the act of repressing; control by holding down"
reprove,v take to task
repudiate,"v. refuse to acknowledge, ratify, or recognize as valid
v. refuse to recognize or pay
v. reject as untrue, unfounded, or unjust"
repulsion,"n. the force by which bodies repel one another
n. the act of repulsing or repelling an attack; a successful defensive stand"
repulsive,a. possessing the ability to repel
reputable,a. having a good reputation
requiem,"n. a musical setting for a Mass celebrating the dead
n. a Mass celebrated for the dead"
requisite,"n anything indispensable
s necessary for relief or supply"
requisition,"n. the act of requiring; an authoritative request or demand, especially by a military or public authority that takes something over (usually temporarily) for military or public use
n. an official form on which a request in made
v. make a formal request for official services"
