alphabet,n.字母表
baker,"n.面包师,面包工人,<美>(便携式)烘炉"
chef,n.厨师
construction worker,
dancer,"n.舞女,舞蹈少女"
mechanic,"n.技工,机修工,机械士"
salesperson,n.售货员
secretary,"n.秘书,书记,部长,大臣"
singer,n.歌手
superintendent,"n.主管,负责人,指挥者,管理者"
teacher,n.教师
truck driver,
actor,"n.男演员,行动者,参与者"
actress,n.女演员
baker,"n.面包师,面包工人,<美>(便携式)烘炉"
chef,n.厨师
construction,"n.建筑,建筑物,解释,造句"
worker,n.工人
dancer,"n.舞女,舞蹈少女"
mechanic,"n.技工,机修工,机械士"
salesperson,n.售货员
secretary,"n.秘书,书记,部长,大臣"
singer,n.歌手
superintendent,"n.主管,负责人,指挥者,管理者"
teacher,n.教师
truck driver,
